Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
19.11,1.5,1.49,36.47,1.2,0.8,0.2,1
19.204,1.5,1.51,34.9,1.2,0.8,0.2,1
19.313,1.5,1.51,36.08,1.2,0.8,0.2,1
19.406,1.5,1.49,37.65,1.2,0.8,0.2,1
19.516,1.5,1.51,35.29,1.2,0.8,0.2,1
19.609,1.5,1.51,36.08,1.2,0.8,0.2,1
19.703,1.5,1.49,37.65,1.2,0.8,0.2,1
19.812,1.5,1.51,35.29,1.2,0.8,0.2,1
19.906,1.5,1.49,37.65,1.2,0.8,0.2,1
20.015,1.5,1.52,33.73,1.2,0.8,0.2,1
20.108,1.5,1.51,36.86,1.2,0.8,0.2,1
20.202,1.5,1.49,37.25,1.2,0.8,0.2,1
20.311,1.5,1.49,36.47,1.2,0.8,0.2,1
20.405,1.5,1.51,34.9,1.2,0.8,0.2,1
20.514,1.5,1.51,36.08,1.2,0.8,0.2,1
20.608,1.5,1.49,37.25,1.2,0.8,0.2,1
20.701,1.5,1.49,36.47,1.2,0.8,0.2,1
20.811,1.5,1.49,36.47,1.2,0.8,0.2,1
20.904,1.5,1.51,34.9,1.2,0.8,0.2,1
21.013,1.5,1.51,36.08,1.2,0.8,0.2,1
21.107,1.5,1.49,37.25,1.2,0.8,0.2,1
21.201,1.5,1.51,34.9,1.2,0.8,0.2,1
21.31,1.5,1.51,35.69,1.2,0.8,0.2,1
21.403,1.5,1.51,35.69,1.2,0.8,0.2,1
21.513,1.5,1.51,35.69,1.2,0.8,0.2,1
21.606,1.5,1.49,37.25,1.2,0.8,0.2,1
21.715,1.5,1.51,34.9,1.2,0.8,0.2,1
21.809,1.5,1.49,37.25,1.2,0.8,0.2,1
21.903,1.5,1.49,36.47,1.2,0.8,0.2,1
22.012,1.5,1.48,37.65,1.2,0.8,0.2,1
22.105,1.5,1.49,35.29,1.2,0.8,0.2,1
22.215,1.5,1.48,38.04,1.2,0.8,0.2,1
22.308,1.5,1.51,34.12,1.2,0.8,0.2,1
22.402,1.5,1.49,37.65,1.2,0.8,0.2,1
22.511,1.5,1.49,36.47,1.2,0.8,0.2,1
22.605,1.5,1.49,36.47,1.2,0.8,0.2,1
22.714,1.5,1.51,35.29,1.2,0.8,0.2,1
22.807,1.5,1.51,36.08,1.2,0.8,0.2,1
22.901,1.5,1.49,37.65,1.2,0.8,0.2,1
23.01,1.5,1.49,36.47,1.2,0.8,0.2,1
23.104,1.5,1.51,35.29,1.2,0.8,0.2,1
23.213,1.5,1.49,37.65,1.2,0.8,0.2,1
23.307,1.5,1.52,33.73,1.2,0.8,0.2,1
23.416,1.5,1.49,38.43,1.2,0.8,0.2,1
23.509,1.5,1.49,36.47,1.2,0.8,0.2,1
23.603,1.5,1.51,35.29,1.2,0.8,0.2,1
23.712,1.5,1.51,36.08,1.2,0.8,0.2,1
23.806,1.5,1.49,37.65,1.2,0.8,0.2,1
23.915,1.5,1.49,36.47,1.2,0.8,0.2,1
24.009,1.5,1.48,38.04,1.2,0.8,0.2,1
24.102,1.5,1.51,34.12,1.2,0.8,0.2,1
24.211,1.5,1.49,37.65,1.2,0.8,0.2,1
24.305,1.5,1.51,35.29,1.2,0.8,0.2,1
24.414,1.5,1.51,36.08,1.2,0.8,0.2,1
24.508,1.5,1.49,37.65,1.2,0.8,0.2,1
24.601,1.5,1.51,35.29,1.2,0.8,0.2,1
24.711,1.5,1.51,36.08,1.2,0.8,0.2,1
24.804,1.5,1.49,37.65,1.2,0.8,0.2,1
24.913,1.5,1.49,36.47,1.2,0.8,0.2,1
25.007,1.5,1.49,36.86,1.2,0.8,0.2,1
25.101,1.5,1.48,38.43,1.2,0.8,0.2,1
25.21,1.5,1.49,36.08,1.2,0.8,0.2,1
25.303,1.5,1.51,35.29,1.2,0.8,0.2,1
25.413,1.5,1.49,37.65,1.2,0.8,0.2,1
25.506,1.5,1.51,35.29,1.2,0.8,0.2,1
25.615,1.5,1.51,36.47,1.2,0.8,0.2,1
25.709,1.5,1.51,36.08,1.2,0.8,0.2,1
25.803,1.5,1.51,36.08,1.2,0.8,0.2,1
25.912,1.5,1.51,36.08,1.2,0.8,0.2,1
26.005,1.5,1.49,37.65,1.2,0.8,0.2,1
26.115,1.5,1.49,36.86,1.2,0.8,0.2,1
26.208,1.5,1.51,35.29,1.2,0.8,0.2,1
26.302,1.5,1.51,36.08,1.2,0.8,0.2,1
26.411,1.5,1.49,37.65,1.2,0.8,0.2,1
26.505,1.5,1.49,36.86,1.2,0.8,0.2,1
26.614,1.5,1.49,36.86,1.2,0.8,0.2,1
26.707,1.5,1.51,35.29,1.2,0.8,0.2,1
26.801,1.5,1.51,36.08,1.2,0.8,0.2,1
26.91,1.5,1.51,36.08,1.2,0.8,0.2,1
27.004,1.5,1.51,36.08,1.2,0.8,0.2,1
27.113,1.5,1.49,37.65,1.2,0.8,0.2,1
27.207,1.5,1.48,38.04,1.2,0.8,0.2,1
27.316,1.5,1.48,37.25,1.2,0.8,0.2,1
27.409,1.5,1.49,35.69,1.2,0.8,0.2,1
27.503,1.5,1.51,35.29,1.2,0.8,0.2,1
27.612,1.5,1.51,36.47,1.2,0.8,0.2,1
27.706,1.5,1.49,38.04,1.2,0.8,0.2,1
27.815,1.5,1.51,35.29,1.2,0.8,0.2,1
27.909,1.5,1.49,38.04,1.2,0.8,0.2,1
28.002,1.5,1.51,35.29,1.2,0.8,0.2,1
28.111,1.5,1.51,36.47,1.2,0.8,0.2,1
28.205,1.5,1.51,36.47,1.2,0.8,0.2,1
28.314,1.5,1.51,36.08,1.2,0.8,0.2,1
28.408,1.5,1.49,37.65,1.2,0.8,0.2,1
28.501,1.5,1.51,35.29,1.2,0.8,0.2,1
28.611,1.5,1.49,37.65,1.2,0.8,0.2,1
28.704,1.5,1.49,36.86,1.2,0.8,0.2,1
28.813,1.5,1.49,36.86,1.2,0.8,0.2,1
28.907,1.5,1.51,35.29,1.2,0.8,0.2,1
29.001,1.5,1.48,39.22,1.2,0.8,0.2,1
29.11,1.5,1.51,34.51,1.2,0.8,0.2,1
29.203,1.5,1.49,38.04,1.2,0.8,0.2,1
29.313,1.5,1.49,36.86,1.2,0.8,0.2,1
29.406,1.5,1.51,35.29,1.2,0.8,0.2,1
29.515,1.5,1.51,36.47,1.2,0.8,0.2,1
29.609,1.5,1.49,38.04,1.2,0.8,0.2,1
29.703,1.5,1.51,35.29,1.2,0.8,0.2,1
29.812,1.5,1.51,36.47,1.2,0.8,0.2,1
29.905,1.5,1.49,38.04,1.2,0.8,0.2,1
30.015,1.5,1.49,36.86,1.2,0.8,0.2,1
30.108,1.5,1.51,35.29,1.2,0.8,0.2,1
30.202,1.5,1.51,36.47,1.2,0.8,0.2,1
30.311,1.5,1.49,37.65,1.2,0.8,0.2,1
30.405,1.5,1.51,35.29,1.2,0.8,0.2,1
30.514,1.5,1.51,36.47,1.2,0.8,0.2,1
30.607,1.5,1.49,37.65,1.2,0.8,0.2,1
30.701,1.5,1.49,36.86,1.2,0.8,0.2,1
30.81,1.5,1.49,36.86,1.2,0.8,0.2,1
30.904,1.5,1.49,36.86,1.2,0.8,0.2,1
31.013,1.5,1.49,36.86,1.2,0.8,0.2,1
31.107,1.5,1.51,35.29,1.2,0.8,0.2,1
31.216,1.5,1.51,36.47,1.2,0.8,0.2,1
31.309,1.5,1.49,38.04,1.2,0.8,0.2,1
31.403,1.5,1.49,36.86,1.2,0.8,0.2,1
31.512,1.5,1.51,35.69,1.2,0.8,0.2,1
31.606,1.5,1.49,38.04,1.2,0.8,0.2,1
31.715,1.5,1.49,36.86,1.2,0.8,0.2,1
31.809,1.5,1.51,35.29,1.2,0.8,0.2,1
31.902,1.5,1.49,38.04,1.2,0.8,0.2,1
32.011,1.5,1.49,36.86,1.2,0.8,0.2,1
32.105,1.5,1.51,35.29,1.2,0.8,0.2,1
32.214,1.5,1.49,38.04,1.2,0.8,0.2,1
32.308,1.5,1.49,36.86,1.2,0.8,0.2,1
32.401,1.5,1.51,35.69,1.2,0.8,0.2,1
32.511,1.5,1.48,39.22,1.2,0.8,0.2,1
32.604,1.5,1.49,36.08,1.2,0.8,0.2,1
32.713,1.5,1.49,37.25,1.2,0.8,0.2,1
32.807,1.5,1.49,37.25,1.2,0.8,0.2,1
32.901,1.5,1.51,35.69,1.2,0.8,0.2,1
33.01,1.5,1.51,36.47,1.2,0.8,0.2,1
33.103,1.5,1.49,38.04,1.2,0.8,0.2,1
33.213,1.5,1.49,37.25,1.2,0.8,0.2,1
33.306,1.5,1.51,35.69,1.2,0.8,0.2,1
33.415,1.5,1.51,36.47,1.2,0.8,0.2,1
33.509,1.5,1.49,38.04,1.2,0.8,0.2,1
33.603,1.5,1.51,35.69,1.2,0.8,0.2,1
33.712,1.5,1.51,36.47,1.2,0.8,0.2,1
33.805,1.5,1.52,34.9,1.2,0.8,0.2,1
33.915,1.5,1.51,37.25,1.2,0.8,0.2,1
34.008,1.5,1.51,36.47,1.2,0.8,0.2,1
34.102,1.5,1.49,38.04,1.2,0.8,0.2,1
34.211,1.5,1.51,35.69,1.2,0.8,0.2,1
34.305,1.5,1.49,38.04,1.2,0.8,0.2,1
34.414,1.5,1.49,36.86,1.2,0.8,0.2,1
34.507,1.5,1.51,35.29,1.2,0.8,0.2,1
34.601,1.5,1.49,38.04,1.2,0.8,0.2,1
34.71,1.5,1.49,36.86,1.2,0.8,0.2,1
34.804,1.5,1.51,35.69,1.2,0.8,0.2,1
34.913,1.5,1.49,38.04,1.2,0.8,0.2,1
35.007,1.5,1.51,35.69,1.2,0.8,0.2,1
35.116,1.5,1.51,36.47,1.2,0.8,0.2,1
35.209,1.5,1.51,36.47,1.2,0.8,0.2,1
35.303,1.5,1.51,36.47,1.2,0.8,0.2,1
35.412,1.5,1.51,36.47,1.2,0.8,0.2,1
35.506,1.5,1.52,34.9,1.2,0.8,0.2,1
35.615,1.5,1.51,37.25,1.2,0.8,0.2,1
35.709,1.5,1.49,37.65,1.2,0.8,0.2,1
35.802,1.5,1.49,36.86,1.2,0.8,0.2,1
35.911,1.5,1.49,36.86,1.2,0.8,0.2,1
36.005,1.5,1.51,35.29,1.2,0.8,0.2,1
36.114,1.5,1.51,36.47,1.2,0.8,0.2,1
36.208,1.5,1.49,37.65,1.2,0.8,0.2,1
36.301,1.5,1.51,35.29,1.2,0.8,0.2,1
